HEAD	RELATION	TAIL
Malfunction of peritoneal dialysis catheter	associated_with	Peritoneal dialysis catheter
Migration of Tenckhoff catheter	associated_with	Peritoneal dialysis catheter
Leakage of peritoneal dialysis catheter	associated_with	Peritoneal dialysis catheter
Fungal infection associated with peritoneal dialysis catheter	associated_with	Peritoneal dialysis catheter
Bacterial infection associated with peritoneal dialysis catheter	associated_with	Peritoneal dialysis catheter
Retained fragment of ureteric catheter	associated_with	Ureteral catheter
Mechanical complication due to urethral indwelling catheter	associated_with	Urethral catheter
Post-catheterization urethral stricture	associated_with	Urethral catheter
Mechanical complication of urethral catheter	associated_with	Urethral catheter
Disorder of urethral catheter	associated_with	Urethral catheter
Burst balloon of self-retaining catheter	associated_with	Urethral catheter
Obstruction of urethral urinary catheter	associated_with	Urethral catheter
Retained ureteric catheter	associated_with	Urethral catheter
Retained fragment of urethral catheter	associated_with	Urethral catheter
Mechanical complication of cystostomy catheter	associated_with	Urinary catheter
Disorder of cystostomy catheter	associated_with	Urinary catheter
Infection of bladder catheter	associated_with	Urinary catheter
Leakage from urinary catheter	associated_with	Urinary catheter
Obstruction of urinary catheter	associated_with	Urinary catheter
Complication of urinary catheter	associated_with	Urinary catheter
Catheter-associated urinary tract infection	associated_with	Urinary catheter
Disorder due to insertion of glaucoma drainage device	associated_with	Glaucoma drainage device
Breakage of implantable cardiac defibrillator lead insulation	associated_with	Implantable defibrillator leads
Dysfunction of implantable cardiac defibrillator lead	associated_with	Implantable defibrillator leads
LVAD (left ventricular assist device) driveline infection	associated_with	Left ventricular assist device
Thrombosis associated with left ventricular assist device	associated_with	Left ventricular assist device
Pacemaker battery depletion	associated_with	Pacemaker battery
Prosthetic aortic valve stenosis	associated_with	Aortic valve prosthesis
Prosthetic aortic valve failure	associated_with	Aortic valve prosthesis
Prosthetic aortic valve failure requiring revision	associated_with	Aortic valve prosthesis
Prosthetic aortic valve failure requiring replacement	associated_with	Aortic valve prosthesis
Disorder of bile duct prosthesis	associated_with	Bile duct prosthesis
Mechanical complication of bile duct prosthesis	associated_with	Bile duct prosthesis
Infection of total knee joint prosthesis	associated_with	Total knee joint prosthesis
Infection of total shoulder joint prosthesis	associated_with	Shoulder joint prosthesis
Prosthetic mitral valve regurgitation	associated_with	Mitral valve prosthesis
Disorder of mitral valve prosthesis	associated_with	Mitral valve prosthesis
Acute prosthetic mitral valve regurgitation	associated_with	Mitral valve prosthesis
Prosthetic mitral valve failure	associated_with	Mitral valve prosthesis
Prosthetic mitral valve stenosis	associated_with	Mitral valve prosthesis
Prosthetic mitral valve calcific stenosis	associated_with	Mitral valve prosthesis
Prosthetic mitral valve failure requiring replacement	associated_with	Mitral valve prosthesis
Prosthetic mitral valve failure requiring revision	associated_with	Mitral valve prosthesis
Prosthetic mitral valve stenosis and regurgitation	associated_with	Mitral valve prosthesis
Endocarditis of prosthetic mitral valve	associated_with	Mitral valve prosthesis
Disorder of bile duct stent	associated_with	Biliary stent
Displacement of biliary stent	associated_with	Biliary stent
Obstruction of biliary stent	associated_with	Biliary stent
Infection of biliary stent	associated_with	Biliary stent
Displacement of pancreatic stent	associated_with	Pancreatic stent
Infection of pancreatic stent	associated_with	Pancreatic stent
Obstruction of pancreatic stent	associated_with	Pancreatic stent
Disorder of pancreatic stent	associated_with	Pancreatic stent
Blocked ureteric stent	associated_with	Ureteric stent
Retained ureteric stent	associated_with	Ureteric stent
Migration of vascular stent	associated_with	Vascular stent
Displacement of nephrostomy tube	associated_with	Nephrostomy tube
Malfunction of external stoma of urinary tract	associated_with	Procedure
Urological system complication of procedure	associated_with	Procedure
Acute myocardial infarction during procedure	associated_with	Procedure
Arterial complication of procedure	associated_with	Procedure
Accidental laceration during a procedure on an organ	associated_with	Procedure
Complication due to imaging of patient with implanted medical device	associated_with	Procedure
Disorder of pancreatic stent	associated_with	Procedure
Complication of internal device	associated_with	Insertion of therapeutic device
Complication of electronic internal device	associated_with	Insertion of therapeutic device
Mechanical complication of muscle graft	associated_with	Grafting of muscle
Disorder of muscle graft	associated_with	Grafting of muscle
Failure of muscle graft	associated_with	Grafting of muscle
Complication of cutaneous surgery	associated_with	Operation on skin
Fetal or neonatal effect of external version before labor	associated_with	External obstetrical version
Complication of ear piercing	associated_with	Piercing of external ear
Acute paralytic poliomyelitis, vaccine-associated	associated_with	Poliomyelitis vaccination
Parvo virus arthritis	associated_with	Parvovirus infection
Lymphomatoid papulosis-associated mycosis fungoides	associated_with	Lymphomatoid papulosis
Secondary amyloidosis	associated_with	Polyneuropathy in amyloidosis
Neonatal jaundice with Rotor's syndrome	associated_with	Rotor syndrome
Hyperammonemic encephalopathy	associated_with	Hyperammonemia
Polyneuropathy in amyloidosis	associated_with	Secondary amyloidosis
Autonomic neuropathy due to amyloid	associated_with	Secondary amyloidosis
Neuropathy in secondary amyloidosis	associated_with	Secondary amyloidosis
Periodontitis associated with cyclical neutropenia	associated_with	Cyclical neutropenia
Neoplasm of thymus	associated_with	Immunodeficiency with thymoma
Dialysis procedure	associated_with	Dialysis dementia
Myopathy in Cushing's disease	associated_with	Pituitary dependent hypercortisolism
Alpha-1-antitrypsin hepatitis	associated_with	Alpha-1-antitrypsin deficiency
Decompensated cardiac failure	associated_with	Decompensation
Decompensated chronic heart failure	associated_with	Decompensation
Cardiac pacemaker	associated_with	Malfunction from artificial pacing
Familial duodenal ulcer associated with rapid gastric emptying	associated_with	Rapid gastric emptying
Fever	associated_with	Febrile proteinuria
Language disorder associated with thought disorder	associated_with	Disturbance in thinking
Post-traumatic mutism	associated_with	Disturbance in thinking
Coughing	associated_with	Tussive syncope
Epileptic seizure	associated_with	Epileptic aura
Conductive hearing loss	associated_with	Articulatory defect due to conductive hearing loss
Tooth disorder	associated_with	Articulatory defect secondary to dental defect
Medicinal product	associated_with	Steroid withdrawal syndrome
Implant	associated_with	Complication of implant
Medicinal product	associated_with	Withdrawal arrhythmia
Alcoholism	associated_with	Dementia associated with alcoholism
Medicinal product	associated_with	Caffeine-related disorder
Fever	associated_with	Metal fever
Myxedema	associated_with	Myxedema coma
Systemic disease	associated_with	Sickle cell nephropathy
Fever	associated_with	Polymer fume fever
Erythema nodosum due to Yersinia enterocolitica	associated_with	Infection by Yersinia enterocolitica
Iron deficiency glossitis	associated_with	Iron deficiency
Aortic valve regurgitation	associated_with	Duroziez's murmur
Subacute bacterial endocarditis	associated_with	Osler's node
Abnormal gait due to impairment of balance	associated_with	Impairment of balance
Cardiac cirrhosis	associated_with	Hypoxia
Hypoxia-associated cirrhosis	associated_with	Hypoxia
Cardiac portal cirrhosis	associated_with	Hypoxia
Inherited acute myeloid leukemia	associated_with	Congenital disease
Opiate misuse	associated_with	Opioid receptor agonist
Double inlet ventricle	associated_with	Congenital atresia of tricuspid valve
Dementia associated with viral encephalitis	associated_with	Viral encephalitis
Sepsis-associated lung injury	associated_with	Sepsis
Sepsis-related gastritis	associated_with	Sepsis
Sepsis-associated organ dysfunction	associated_with	Sepsis
Sepsis-related gastrointestinal ulceration	associated_with	Sepsis
Sepsis-associated gastrointestinal hemorrhage	associated_with	Sepsis
Sepsis-associated myocardial dysfunction	associated_with	Sepsis
Sepsis-associated left ventricular failure	associated_with	Sepsis
Sepsis-associated right ventricular failure	associated_with	Sepsis
Sepsis-associated encephalopathy	associated_with	Sepsis
Sepsis-related gastrointestinal lesions	associated_with	Sepsis
Septic shock co-occurrent with acute organ dysfunction due to Enterococcus	associated_with	Sepsis
Severe sepsis with acute organ dysfunction due to Salmonella	associated_with	Sepsis
Severe sepsis with acute organ dysfunction due to anaerobic bacteria	associated_with	Sepsis
Severe sepsis with acute organ dysfunction due to Gram-positive bacteria	associated_with	Sepsis
Septic shock co-occurrent with acute organ dysfunction due to Pneumococcus	associated_with	Sepsis
Severe sepsis with acute organ dysfunction due to methicillin resistant Staphylococcus aureus	associated_with	Sepsis
Septic shock co-occurrent with acute organ dysfunction due to methicillin resistant Staphylococcus aureus	associated_with	Sepsis
Severe sepsis with acute organ dysfunction due to coagulase negative Staphylococcus	associated_with	Sepsis
Severe sepsis with acute organ dysfunction due to Group A streptococcus	associated_with	Sepsis
Septic shock co-occurrent with acute organ dysfunction due to Gram-positive coccus	associated_with	Sepsis
Septic shock co-occurrent with acute organ dysfunction due to Chromobacterium	associated_with	Sepsis
Severe sepsis with acute organ dysfunction due to Staphylococcus	associated_with	Sepsis
Septic shock co-occurrent with acute organ dysfunction due to Streptococcus	associated_with	Sepsis
Severe sepsis with acute organ dysfunction due to Serratia	associated_with	Sepsis
Septic shock co-occurrent with acute organ dysfunction due to methicillin susceptible Staphylococcus aureus	associated_with	Sepsis
Septic shock co-occurrent with acute organ dysfunction due to anaerobic bacteria	associated_with	Sepsis
Severe sepsis with acute organ dysfunction due to Group B streptococcus	associated_with	Sepsis
Severe sepsis with acute organ dysfunction due to Haemophilus influenzae	associated_with	Sepsis
Severe sepsis with acute organ dysfunction due to Pseudomonas	associated_with	Sepsis
Severe sepsis with acute organ dysfunction due to Meningococcus	associated_with	Sepsis
Severe sepsis with acute organ dysfunction due to Gram-negative bacteria	associated_with	Sepsis
Septic shock co-occurrent with acute organ dysfunction due to Haemophilus influenzae	associated_with	Sepsis
Severe sepsis with acute organ dysfunction due to Pneumococcus	associated_with	Sepsis
Severe sepsis with acute organ dysfunction due to methicillin susceptible Staphylococcus aureus	associated_with	Sepsis
Septic shock co-occurrent with acute organ dysfunction due to Group A streptococcus	associated_with	Sepsis
Septic shock co-occurrent with acute organ dysfunction due to Group B streptococcus	associated_with	Sepsis
Septic shock co-occurrent with acute organ dysfunction due to coagulase-negative Staphylococcus	associated_with	Sepsis
Septic shock co-occurrent with acute organ dysfunction due to Meningococcus	associated_with	Sepsis
Septic shock co-occurrent with acute organ dysfunction due to Pseudomonas	associated_with	Sepsis
Septic shock co-occurrent with acute organ dysfunction due to Gonococcus	associated_with	Sepsis
Severe sepsis with acute organ dysfunction due to Chromobacterium	associated_with	Sepsis
Septic shock co-occurrent with acute organ dysfunction due to Serratia	associated_with	Sepsis
Severe sepsis with acute organ dysfunction due to Streptococcus	associated_with	Sepsis
Severe sepsis with acute organ dysfunction caused by Gonococcus	associated_with	Sepsis
Septic shock co-occurrent with acute organ dysfunction due to Staphylococcus	associated_with	Sepsis
Fetal or neonatal effect of induction of labor	associated_with	Induction of labor
Hepatitis D superinfection of hepatitis B carrier	associated_with	Hepatitis B carrier
Pancreatitis	associated_with	Subcutaneous nodular fat necrosis in pancreatitis
Nongonococcal urethritis	associated_with	Arthropathy associated with nonspecific urethritis
Disease	associated_with	Arthropathy associated with another disorder
Disease	associated_with	Polyarthropathy associated with another disorder
Disease	associated_with	Polyarthritis associated with another disorder
Disorder of gastrointestinal tract	associated_with	Arthropathy associated with non-infective gastrointestinal disorder
Disease	associated_with	Arthropathy associated with a hematological disorder
Disorder of skin	associated_with	Arthropathy associated with dermatological disorder
Disorder of respiratory system	associated_with	Arthropathy associated with respiratory disorder
Disorder of nervous system	associated_with	Neurogenic ossifying arthropathy
Disease	associated_with	Arthropathy associated with another systemic disease
Disease	associated_with	Secondary localized osteoarthrosis of pelvic region
Disease	associated_with	Secondary localized osteoarthrosis of multiple sites
Disease	associated_with	Coxae malum senilis
Paralysis	associated_with	Flail joint - paralytic
Disease	associated_with	SAPHO syndrome
Paraplegia	associated_with	Massive calcification in paraplegic
Disease	associated_with	Polymyositis ossificans
Fever	associated_with	Brass-founders' fever
Fever	associated_with	Copper fever
Fever	associated_with	Grain fever
Sjögren's syndrome	associated_with	Pseudolymphoma of lung in Sjögren's disease
Disease of liver	associated_with	Pleural effusion associated with hepatic disorder
Pancreatitis	associated_with	Pleural effusion associated with pancreatitis
Infectious disease of lung	associated_with	Pleural effusion associated with pulmonary infection
Kidney disease	associated_with	Benign secondary renovascular hypertension
Kidney disease	associated_with	Malignant secondary renovascular hypertension
Kidney disease	associated_with	Renal arterial hypertension
Hypertensive disorder	associated_with	Hypertensive heart disease with congestive heart failure
Hypertensive disorder	associated_with	Hypertensive heart failure
Kidney disease	associated_with	Renal sclerosis with hypertension
Left heart failure	associated_with	Right heart failure secondary to left heart failure
Prosthetic implant	associated_with	Cardiac insufficiency due to prosthesis
Thyrotoxicosis	associated_with	Thyrotoxic heart disease
Disease	associated_with	Secondary dilated cardiomyopathy
Disorder due to infection	associated_with	Dilated cardiomyopathy secondary to infection
Viral myocarditis	associated_with	Dilated cardiomyopathy secondary to viral myocarditis
Bacterial myocarditis	associated_with	Dilated cardiomyopathy secondary to bacterial myocarditis
Fungal myocarditis	associated_with	Dilated cardiomyopathy secondary to fungal myocarditis
Protozoan myocarditis	associated_with	Dilated cardiomyopathy secondary to protozoal myocarditis
Parasitic myocarditis	associated_with	Dilated cardiomyopathy secondary to metazoal myocarditis
Generalized metabolic disorder	associated_with	Dilated cardiomyopathy secondary to metabolic disorder
Storage disease	associated_with	Dilated cardiomyopathy secondary to familial storage disease
Glycogen storage disease	associated_with	Dilated cardiomyopathy secondary to glycogen storage disease
Mucopolysaccharidosis	associated_with	Dilated cardiomyopathy secondary to mucopolysaccharidosis
Generalized metabolic disorder	associated_with	Dilated cardiomyopathy secondary to deficiency
Generalized metabolic disorder	associated_with	Dilated cardiomyopathy secondary to nutritive deficiency
Undernutrition	associated_with	Dilated cardiomyopathy secondary to nutritive deficiency
Electrolyte depletion	associated_with	Dilated cardiomyopathy secondary to electrolyte deficiency
Systemic lupus erythematosus	associated_with	Dilated cardiomyopathy secondary to systemic lupus erythematosus
Polyarteritis nodosa	associated_with	Dilated cardiomyopathy secondary to polyarteritis nodosa
Rheumatoid arthritis	associated_with	Dilated cardiomyopathy secondary to rheumatoid arthritis
Systemic sclerosis	associated_with	Dilated cardiomyopathy due to systemic sclerosis
Dermatomyositis	associated_with	Dilated cardiomyopathy secondary to dermatomyositis
Disease	associated_with	Dilated cardiomyopathy secondary to infiltration
Amyloidosis	associated_with	Dilated cardiomyopathy secondary to amyloidosis
Sarcoidosis	associated_with	Dilated cardiomyopathy secondary to sarcoidosis
Malignant neoplastic disease	associated_with	Dilated cardiomyopathy secondary to malignancy
Hemochromatosis	associated_with	Dilated cardiomyopathy secondary to hemochromatosis
Granulomatous disorder	associated_with	Dilated cardiomyopathy secondary to granuloma
Disease	associated_with	Dilated cardiomyopathy secondary to neuromuscular disorder
Muscular dystrophy	associated_with	Dilated cardiomyopathy secondary to muscular dystrophy
Steinert myotonic dystrophy syndrome	associated_with	Dilated cardiomyopathy secondary to myotonic dystrophy
Friedreich's ataxia	associated_with	Dilated cardiomyopathy secondary to Friedreich's ataxia
HSMN IV	associated_with	Dilated cardiomyopathy secondary to phytanic acid storage disease
Disease	associated_with	Dilated cardiomyopathy secondary to radiation
Disease	associated_with	Dilated cardiomyopathy secondary to toxic reaction
Cobalt poisoning	associated_with	Cobalt cardiomyopathy
Glycogen storage disease	associated_with	Restrictive cardiomyopathy secondary to glycogen storage disease
Mucopolysaccharidosis	associated_with	Restrictive cardiomyopathy secondary to mucopolysaccharidosis
Disease	associated_with	Restrictive cardiomyopathy secondary to infiltrations
Amyloidosis	associated_with	Restrictive cardiomyopathy secondary to amyloidosis
Sarcoidosis	associated_with	Restrictive cardiomyopathy secondary to sarcoidosis
Malignant neoplastic disease	associated_with	Restrictive cardiomyopathy secondary to malignancy
Hemochromatosis	associated_with	Restrictive cardiomyopathy secondary to hemochromatosis
Granulomatous disorder	associated_with	Restrictive cardiomyopathy secondary to granulomas
Endocardial fibroelastosis	associated_with	Restrictive cardiomyopathy secondary to endocardial fibroelastosis
Friedreich's ataxia	associated_with	Hypertrophic cardiomyopathy secondary to Friedreich's ataxia
Cardiac pacemaker	associated_with	Cardiac arrest due to pacemaker failure
Polysplenia heterotaxy syndrome	associated_with	Bilateral left-sidedness sequence
Medicinal product	associated_with	Ulcer of esophagus due to ingestion of medicines
Medicinal product	associated_with	Acute gastric erosion associated with drug ingestion
Foreign body in stomach	associated_with	Isolated idiopathic granuloma of stomach, foreign body type
Rapid gastric emptying	associated_with	Familial duodenal ulcer associated with rapid gastric emptying
Dialysis procedure	associated_with	Dialysis-associated ascites
Dilated cardiomyopathy secondary to familial storage disease	associated_with	Storage disease
Dietary selenium deficiency	associated_with	Keshan disease
Lactose	associated_with	Hereditary gastrogenic lactose intolerance
Lactose	associated_with	Intolerance to lactose in children without lactase deficiency
Cerebral amyloid angiopathy associated with systemic amyloidosis	associated_with	Systemic amyloidosis
Dialysis procedure	associated_with	Hemodialysis-associated amyloidosis
Dermatosis associated with biotin deficiency	associated_with	Biotin deficiency
Uremia	associated_with	Uremic encephalopathy
Systemic disease	associated_with	Fibrillary glomerulonephritis
Systemic disease	associated_with	SLE glomerulonephritis syndrome, WHO class I
Systemic disease	associated_with	SLE glomerulonephritis syndrome, WHO class II
Systemic disease	associated_with	SLE glomerulonephritis syndrome, WHO class III
Systemic disease	associated_with	SLE glomerulonephritis syndrome, WHO class IV
Systemic disease	associated_with	SLE glomerulonephritis syndrome, WHO class V
Systemic disease	associated_with	SLE glomerulonephritis syndrome, WHO class VI
Systemic disease	associated_with	Light chain nephropathy
Multiple myeloma	associated_with	Myeloma kidney
Systemic disease	associated_with	Myeloma kidney
Renal failure associated with renal vascular disease	associated_with	Renal vascular disorder
Urethral catheter	associated_with	Post-catheterization urethral stricture
Afibrinogenemia	associated_with	Parturient hemorrhage associated with afibrinogenemia
Increased fibrinolysis	associated_with	Parturient hemorrhage associated with hyperfibrinolysis
Hypofibrinogenemia	associated_with	Parturient hemorrhage associated with hypofibrinogenemia
Leiomyoma	associated_with	Ante AND/OR intrapartum hemorrhage associated with leiomyoma
Hypertensive disorder	associated_with	Hypertensive heart disease in obstetric context
Hypertensive disorder	associated_with	Hypertensive heart disease complicating AND/OR reason for care during pregnancy
Hypertensive disorder	associated_with	Hypertensive heart disease complicating AND/OR reason for care during childbirth
Hypertensive disorder	associated_with	Hypertensive heart disease complicating AND/OR reason for care during puerperium
Kidney disease	associated_with	Hypertension secondary to renal disease in obstetric context
Kidney disease	associated_with	Hypertension secondary to renal disease complicating AND/OR reason for care during pregnancy
Kidney disease	associated_with	Hypertension secondary to renal disease complicating AND/OR reason for care during childbirth
Kidney disease	associated_with	Hypertension secondary to renal disease complicating AND/OR reason for care during puerperium
Disproportion between fetal head and pelvis	associated_with	Fetal sacral teratoma causing disproportion
Disproportion between fetal head and pelvis	associated_with	Fetal congenital tumor causing disproportion
Obstetric procedure	associated_with	Complication of obstetrical surgery AND/OR procedure
Maternal drug exposure	associated_with	Fetal or neonatal effect of narcotic transmitted via placenta and/or breast milk
Anti-infective product	associated_with	Fetal or neonatal effect of anti-infective agent transmitted via placenta and/or breast milk
Complete breech delivery	associated_with	Fetal or neonatal effect of breech presentation before labor
External obstetrical version	associated_with	Fetal or neonatal effect of external version before labor
Infection of amniotic cavity	associated_with	Fetal or neonatal effect of amnionitis
Obstetric procedure	associated_with	Fetal or neonatal effect of destructive operation on live fetus to facilitate delivery
Induction of labor	associated_with	Fetal or neonatal effect of induction of labor
Disorder due to infection	associated_with	Fetal OR neonatal jaundice from infection
Neonatal polycythemia	associated_with	Fetal OR neonatal jaundice from polycythemia
Dehydration	associated_with	Dehydration fever in newborn
Medicinal product	associated_with	Drug reaction AND/OR intoxication specific to newborn
Medicinal product	associated_with	Sedative withdrawal delirium
Disorder of ear	associated_with	Otogenic intracranial abscess
Lumbar puncture	associated_with	Reaction to spinal puncture
Hydrocephalus	associated_with	Hereditary myopathy associated with hydrocephalus
Disorder of endocrine system	associated_with	Hypothyroid myopathy
Disorder of endocrine system	associated_with	Thyrotoxic myopathy
Disorder of endocrine system	associated_with	Myopathy in Addison's disease
Pituitary dependent hypercortisolism	associated_with	Myopathy in Cushing's disease
Disorder of endocrine system	associated_with	Myopathy in hypopituitarism
Inflammatory disorder	associated_with	Cataract in inflammatory disorder
Spontaneous eye movements associated with monocular visual loss	associated_with	Blind or low vision - one eye only
Generalized metabolic disorder	associated_with	Corneal deposit associated with metabolic disorder
Surgery	associated_with	Enophthalmos due to surgery
Neoplastic disease	associated_with	Disorder of visual pathways associated with neoplasm
Vascular disorder	associated_with	Disorder of visual pathways associated with vascular disorder
Inflammatory disorder	associated_with	Disorder of visual pathways associated with inflammatory disorder
Visual impairment	associated_with	Visual deprivation nystagmus
Acromegaly	associated_with	Arthropathy associated with acromegaly
Impaired glucose tolerance associated with pancreatic disease	associated_with	Disorder of endocrine pancreas
Ophthalmic complication of malnutrition-related diabetes mellitus	associated_with	Malnutrition related diabetes mellitus
Neurological disorder associated with malnutrition-related diabetes mellitus	associated_with	Malnutrition related diabetes mellitus
Coma associated with malnutrition-related diabetes mellitus	associated_with	Malnutrition related diabetes mellitus
Disorder of pancreas	associated_with	Fibrocalculous pancreatic diabetes
Disorder of endocrine system	associated_with	Diabetes mellitus associated with hormonal etiology
Insulin receptor defect	associated_with	Diabetes mellitus associated with receptor abnormality
Disorder of endocrine pancreas	associated_with	Impaired glucose tolerance associated with pancreatic disease
Genetic syndrome	associated_with	Impaired glucose tolerance associated with genetic syndrome
Diabetes mellitus associated with receptor abnormality	associated_with	Insulin receptor defect
Genetic syndrome	associated_with	Rabson-Mendenhall syndrome
Disorder of thyroid gland	associated_with	Toxic diffuse goiter with pretibial myxedema
Disorder of thyroid gland	associated_with	Graves' disease with pretibial myxedema AND with thyrotoxic crisis
Disorder of thyroid gland	associated_with	Toxic diffuse goiter with acropachy
Disorder of thyroid gland	associated_with	Graves' disease with acropachy AND with thyrotoxic crisis
Riedel's thyroiditis	associated_with	Hypothyroidism due to fibrous invasive thyroiditis
Hypothyroidism	associated_with	Hypothyroid obesity
Medicinal product	associated_with	Aplastic anemia due to drugs
Disorder of endocrine system	associated_with	Anemia of endocrine disorder
Disorder of thyroid gland	associated_with	Anemia of thyroid dysfunction
Disorder of endocrine system	associated_with	Anemia of adrenal dysfunction
Disorder of endocrine system	associated_with	Anemia of gonadal dysfunction
Disorder of parathyroid gland	associated_with	Anemia of parathyroid dysfunction
Medicinal product	associated_with	Folate deficiency anemia, drug-induced
Total parenteral nutrition	associated_with	Megaloblastic anemia due to hyperalimentation
Dialysis procedure	associated_with	Acute megaloblastic anemia due to dialysis
Total parenteral nutrition	associated_with	Acute megaloblastic anemia secondary to total parenteral nutrition
Fetal OR neonatal jaundice from polycythemia	associated_with	Neonatal polycythemia
Disorder due to infection	associated_with	Neutropenia associated with infectious disease
Disorder due to infection	associated_with	Infection-associated purpura
Traumatic injury	associated_with	Early traumatic complication of injury
Traumatic injury	associated_with	Air embolism as early complication of trauma
Traumatic injury	associated_with	Secondary AND/OR recurrent hemorrhage as early complication of trauma
Grafting procedure	associated_with	Graft complications
Grafting procedure	associated_with	Complication of bypass graft
Implant	associated_with	Complication of reimplant
Insertion of therapeutic device	associated_with	Complication of internal device
Catheter	associated_with	Complication of catheter
Insertion of therapeutic device	associated_with	Complication of electronic internal device
Prosthetic implant	associated_with	Complication of internal prosthetic device
Implant	associated_with	Displacement of cardiac device
Implant	associated_with	Protrusion of cardiac device
Grafting procedure	associated_with	Mechanical complication of carotid artery bypass graft
Dialysis catheter	associated_with	Mechanical complication of dialysis catheter
Neurological device	associated_with	Mechanical complication of nervous system device
Neurostimulator	associated_with	Mechanical complication of dorsal column stimulator
Nervous system implant	associated_with	Mechanical complication of electrodes implanted in brain
Ventricular shunt	associated_with	Mechanical complication of ventricular communicating shunt
Musculoskeletal implant	associated_with	Mechanical complication of internal orthopedic device
Grafting procedure	associated_with	Mechanical complication of graft of bone, cartilage, muscle AND/OR tendon
Grafting procedure	associated_with	Mechanical complication due to corneal graft
Grafting procedure	associated_with	Mechanical complication due to skin graft failure AND/OR rejection
Breast prosthesis	associated_with	Mechanical complication due to breast prosthesis
Implant	associated_with	Reattached finger(s) complication
Implant	associated_with	Complication of reattached foot AND/OR toe
Dialysis procedure	associated_with	Complication of dialysis
Hemodialysis	associated_with	Complication of hemodialysis
Peritoneal dialysis	associated_with	Complication of peritoneal dialysis
Dialysis procedure	associated_with	Complication of renal dialysis
Injection	associated_with	Complication of injection
Injection	associated_with	Air embolism complicating injection
Suicide attempt	associated_with	Suicidal deliberate poisoning
Homicide	associated_with	Homicidal deliberate poisoning
Cobalt cardiomyopathy	associated_with	Cobalt poisoning
Immunosuppression	associated_with	Immunosuppression-related infectious disease
Leptospirosis	associated_with	Miscarriage due to Leptospira
Tuberculosis	associated_with	Tuberculosis cutis lichenoides
Tuberculosis	associated_with	Tuberculosis papulonecrotica
Dilated cardiomyopathy secondary to viral myocarditis	associated_with	Viral myocarditis
AIDS	associated_with	Candidiasis of lung associated with AIDS
AIDS	associated_with	Progressive multifocal leukoencephalopathy associated with AIDS
AIDS	associated_with	Acute endocarditis associated with AIDS
AIDS	associated_with	Subacute endocarditis associated with AIDS
AIDS	associated_with	Subacute myocarditis associated with AIDS
AIDS	associated_with	Bacterial pneumonia associated with AIDS
AIDS	associated_with	Pneumococcal pneumonia associated with AIDS
AIDS	associated_with	Pneumonia associated with AIDS
AIDS	associated_with	Viral pneumonia associated with AIDS
AIDS	associated_with	Kaposi's sarcoma associated with AIDS
AIDS	associated_with	Primary lymphoma of brain associated with AIDS
AIDS	associated_with	Subacute adenoviral encephalitis associated with AIDS
AIDS	associated_with	Respiratory disorder associated with AIDS
AIDS	associated_with	Agranulocytosis associated with AIDS
AIDS	associated_with	Anemia associated with AIDS
AIDS	associated_with	Aplastic anemia associated with AIDS
AIDS	associated_with	Acquired hemolytic anemia associated with AIDS
AIDS	associated_with	Infective arthritis associated with AIDS
AIDS	associated_with	Blindness associated with AIDS
AIDS	associated_with	Low vision associated with AIDS
AIDS	associated_with	Dermatomycosis associated with AIDS
AIDS	associated_with	Salivary gland disease associated with AIDS
AIDS	associated_with	Dyspnea associated with AIDS
AIDS	associated_with	Hyperhidrosis associated with AIDS
AIDS	associated_with	Nutritional deficiency associated with AIDS
AIDS	associated_with	Skin rash associated with AIDS
AIDS	associated_with	Retinal vascular changes associated with AIDS
AIDS	associated_with	Retinopathy associated with AIDS
Dilated cardiomyopathy secondary to protozoal myocarditis	associated_with	Protozoan myocarditis
Urinary calculus in schistosomiasis	associated_with	Cystitis with bilharziasis
Medicinal product	associated_with	Drug-related disorder
Medicinal product	associated_with	Intolerance to drug
Gonadal hormone	associated_with	Oral contraceptive intolerance
Overwork	associated_with	Death from overwork
Antineoplastic agent	associated_with	Resistance to antineoplastic drug
Oral contraceptive intolerance	associated_with	Gonadal hormone
Miscarriage due to Brucella abortus	associated_with	Infection due to Brucella abortus
Infection of total hip joint prosthesis	associated_with	Total hip replacement prosthesis
Uremia	associated_with	Uremic frost
Congenital absence of skin on scalp with epidermal nevi	associated_with	Epidermal nevus
Disorder of testicular prosthesis	associated_with	Testicular prosthesis
Testicular prosthesis displacement	associated_with	Testicular prosthesis
Testicular prosthesis infection	associated_with	Testicular prosthesis
Testicular prosthesis extrusion	associated_with	Testicular prosthesis
Mechanical complication of vascular device	associated_with	Vascular device
Complication associated with vascular device	associated_with	Vascular device
Infection associated with vascular device	associated_with	Vascular device
Inflammation associated with vascular device	associated_with	Vascular device
Embolization of vascular device fragment during cardiac catheterization	associated_with	Vascular device
Misplacement of hemodialysis catheter	associated_with	Vascular device
Arteriovenous shunt in situ	associated_with	Arteriovenous shunt - device
Antibiotic-associated diarrhea	associated_with	Antibiotic therapy
Retinal disorder	associated_with	Optic atrophy secondary to retinal disease
Hypoglycemia	associated_with	Neuropathy associated with hypoglycemia
Disease	associated_with	Polyneuropathy in polyarteritis nodosa
Rheumatoid arthritis	associated_with	Polyneuropathy in rheumatoid arthritis
Hypopituitarism	associated_with	Pituitary coma
Disease	associated_with	Dementia associated with another disease
Cognitive deficit in psychomotor function	associated_with	Impaired cognition
